City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,jayapura,-2.5333,140.7,24.66,93,93,2.36,ID,1730667538
347,okha,53.5739,142.9478,-3.21,65,100,5.31,RU,1730667540
348,novobod,39.0108,70.1508,10.7,35,100,1.79,TJ,1730667541
349,seeb,23.6703,58.1891,28.88,47,0,0.7,OM,1730667542
350,howard springs,-12.497,131.047,25.95,85,48,1.76,AU,1730667543
351,nova xavantina,-14.6667,-52.35,26.18,77,48,1.51,BR,1730667544
352,neustadt an der orla,50.7364,11.7459,5.31,85,68,1.29,DE,1730667545
353,san clemente,33.427,-117.612,22.11,70,11,1.79,US,1730667546
354,bredy,52.4153,60.3411,-1.79,65,2,5.14,RU,1730667548
355,opuwo,-18.0607,13.84,22.88,31,25,1.75,NA,1730667549
356,puerto leguizamo,-0.1934,-74.7819,25.86,91,100,1.28,CO,1730667550
357,anton lizardo,19.05,-95.9833,27.21,76,19,3.32,MX,1730667551
358,mugia,43.1041,-9.2179,13.84,76,2,3.75,ES,1730667552
359,rio grande,-32.035,-52.0986,21.54,95,99,4.72,BR,1730667553
360,caarapo,-22.6342,-54.8222,25.47,82,100,1.69,BR,1730667554
